fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
Q07343_pIC50	7	5	41	12	27	18	80	62	20	9	35	21	22	19	57	25	24	19	42	22	32	27	49	39	12	5	20	5	8	5	56	15
Q07817_pKi	19	12	36	26	13	9	34	18	6	6	10	6	7	6	10	6	21	9	25	10	25	13	32	27	7	5	23	9	7	4	24	9
Q08345_pIC50	4	3	27	8	5	2	5	5	1	0	3	0	1	0	3	0	4	0	17	4	10	1	19	10	2	0	5	0	1	0	3	0
Q08881_pKi	13	8	15	9	21	15	24	19	5	4	5	4	5	4	6	4	13	10	38	16	8	6	43	17	4	3	31	8	6	3	15	5
Q12791_pIC50	8	3	17	8	5	3	7	5	5	3	8	4	4	2	8	5	6	4	30	8	6	3	7	3	13	3	19	4	4	1	6	1
Q8TDS4_pIC50	15	9	42	19	14	12	14	12	12	10	23	11	14	9	14	9	30	17	34	20	12	9	32	11	15	7	27	13	22	13	35	17
Q96EB6_pIC50	11	6	20	9	21	14	21	14	11	3	26	3	8	4	21	5	14	11	62	17	11	10	50	13	9	3	80	25	11	2	56	21
Q96GD4_pIC50	17	10	41	21	18	10	43	18	8	7	18	7	25	16	55	39	22	20	32	24	30	21	37	24	22	13	46	22	22	16	22	18
Q9GZU7_pIC50	7	2	32	18	14	8	28	14	2	1	50	11	4	2	9	3	7	2	26	19	25	14	32	23	3	3	12	3	3	3	22	4
Q9H4B4_pIC50	5	3	27	6	11	6	32	11	7	3	22	6	7	2	16	7	22	12	35	20	16	13	42	21	6	2	7	3	4	4	6	4
Q9HC97_pIC50	23	10	44	26	33	20	43	30	7	4	35	11	6	3	30	7	16	7	42	23	13	2	36	17	6	1	9	5	5	1	6	1
Q9HCG7_pIC50	15	9	33	16	17	11	48	36	6	3	7	4	4	1	7	4	18	10	28	20	20	10	27	13	7	2	15	3	4	1	67	4
Q9NR96_pIC50	14	7	32	14	17	8	17	8	4	2	14	2	3	2	5	2	9	6	33	10	13	6	24	10	1	0	11	1	1	1	14	1
Q9NUW8_pIC50	14	6	17	10	12	4	15	4	5	1	7	3	6	1	11	2	11	6	27	14	13	6	13	6	5	1	16	4	6	3	6	3
Q9UIQ6_pKi	7	4	25	7	8	4	23	12	5	3	5	3	5	5	21	6	12	8	25	14	22	15	23	16	9	7	11	7	8	6	9	6
Q9UKV0_pIC50	10	4	17	6	14	6	34	15	4	2	4	2	3	2	3	2	12	3	18	3	18	3	39	16	4	3	6	3	5	2	11	4
Q9UQL6_pIC50	16	9	19	9	6	4	20	9	6	5	14	5	7	5	7	5	15	9	22	10	13	9	13	9	4	2	9	3	5	1	5	1
Q9Y4P1_pIC50	17	6	24	14	10	5	16	7	7	4	8	5	7	3	10	5	5	1	40	15	25	12	26	12	2	2	9	2	5	2	5	2
Q9Y5Y4_pKi	30	24	33	29	29	24	49	32	29	15	56	34	29	19	78	31	21	16	38	23	25	19	37	25	21	15	24	15	24	18	38	26
Q9Y6Q9_pEC50	19	9	27	13	9	2	14	2	6	1	14	3	4	0	9	2	6	1	8	1	2	1	17	2	2	0	5	2	2	0	3	0
