fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
P42338_pKi	10	6	19	7	9	6	16	8	10	2	22	4	6	1	60	5	17	12	46	31	17	8	34	20	8	2	64	14	7	1	39	10
P42892_pKi	17	12	33	13	24	3	24	3	19	6	35	10	7	2	9	2	21	9	24	9	10	5	10	5	1	0	1	0	1	0	1	0
P43490_pIC50	19	12	46	34	32	13	47	22	9	3	40	24	22	7	47	18	22	14	27	14	34	21	43	34	17	4	38	10	22	7	26	8
P43681_pEC50	35	22	68	49	44	32	67	55	36	16	57	29	21	11	72	59	53	39	73	59	59	53	71	60	30	7	129	62	31	8	156	84
P46663_pKi	24	17	30	18	46	27	53	35	19	4	34	7	42	22	55	34	16	10	30	11	31	21	58	41	14	4	51	15	21	10	59	29
P47900_pKi	21	18	28	21	33	22	43	26	23	10	79	27	22	8	57	22	27	21	55	39	29	10	61	56	27	8	82	43	34	15	117	87
P48048_pIC50	12	7	13	7	9	7	16	7	5	2	8	4	5	2	7	4	7	5	7	5	10	7	12	7	1	0	4	1	2	0	4	0
P49841_pKi	18	12	18	12	20	16	26	17	15	6	22	10	19	7	40	14	17	14	18	17	17	14	41	18	17	5	47	21	20	8	50	27
P50281_pKi	15	10	43	17	24	10	44	23	14	4	51	28	21	9	86	44	20	12	43	23	35	24	42	26	20	3	42	11	17	3	44	17
P51681_pIC50	42	36	66	55	49	44	63	51	63	47	74	61	77	70	108	78	40	37	61	57	47	38	57	52	47	31	89	50	57	49	69	55
P51812_pIC50	18	11	27	18	17	12	18	16	10	4	68	46	30	9	53	29	27	15	49	39	28	16	58	27	12	0	49	20	18	4	58	18
P52333_pIC50	49	45	52	46	62	55	69	56	30	13	104	82	35	22	40	26	52	37	57	52	52	39	52	44	41	26	115	84	44	27	154	148
P98170_pKi	31	22	32	22	23	20	25	20	15	0	106	76	1	0	110	3	33	25	38	27	27	19	38	26	2	1	95	2	1	0	5	1
Q05655_pIC50	34	20	41	33	32	28	39	32	48	27	61	43	40	19	59	36	27	20	40	27	36	28	44	30	43	24	50	26	38	26	80	41
Q07973_pIC50	8	2	34	6	7	1	37	4	3	0	21	3	1	0	16	0	28	18	60	43	35	25	57	50	2	1	21	4	2	0	20	2
Q08345_pIC50	19	14	33	17	31	19	37	19	16	3	61	22	21	8	75	16	18	12	30	13	18	12	33	19	6	1	57	1	1	1	69	1
Q13002_pKi	15	12	16	15	20	9	30	15	6	1	19	3	3	0	16	3	33	2	48	40	32	3	47	40	10	0	49	10	14	1	54	18
Q13224_pKi	7	4	18	6	7	4	8	4	4	2	10	2	4	2	12	2	8	4	8	5	5	4	24	6	11	3	12	3	11	3	12	3
Q13936_pIC50	15	12	23	14	24	13	27	18	14	3	96	29	35	13	47	23	21	18	25	18	25	18	31	22	25	16	30	20	25	18	26	21
Q14534_pIC50	9	5	10	5	11	4	11	4	9	2	62	9	3	2	19	2	29	9	33	24	14	5	29	6	23	11	57	25	22	8	33	21
Q14790_pIC50	16	12	40	15	13	11	36	20	14	6	41	14	11	4	35	19	39	30	47	38	26	20	50	42	11	5	73	14	17	5	64	17
Q15046_pIC50	12	5	19	10	11	6	11	6	2	0	12	0	2	0	2	0	10	7	13	9	10	9	10	9	2	1	11	1	2	1	2	1
Q15078_pIC50	31	24	73	57	49	39	58	42	22	10	77	43	44	29	72	62	26	17	79	26	43	30	57	46	28	6	71	52	28	16	80	55
Q16665_pIC50	18	11	35	15	36	20	57	42	16	2	37	7	21	5	24	8	21	10	38	26	27	19	43	29	5	3	17	6	8	3	50	24
Q16790_pIC50	18	12	41	24	23	19	36	23	14	4	61	6	12	6	60	8	22	18	29	21	19	18	43	30	18	8	31	12	20	7	40	16
Q86V86_pIC50	11	10	17	11	15	11	51	46	7	5	12	5	11	5	32	13	34	21	57	36	36	30	42	36	10	6	79	9	15	7	87	57
Q8NER1_pEC50	31	20	52	30	27	21	66	51	31	10	58	27	29	7	55	28	47	28	47	28	48	30	61	33	30	15	53	23	32	14	54	30
Q96GD4_pKd	18	11	24	12	12	9	19	10	15	8	55	12	10	3	11	3	24	13	54	31	20	15	27	19	22	3	82	32	18	3	33	8
Q99814_pIC50	14	4	51	18	16	3	28	15	2	0	18	4	3	0	19	3	5	2	32	19	23	6	29	18	3	1	6	1	6	2	8	2
Q99816_pIC50	5	1	6	2	6	1	11	1	1	0	1	0	1	0	1	0	3	0	3	0	2	0	2	0	1	0	1	0	0	0	0	0
Q9HC29_pIC50	24	12	50	30	42	25	59	49	15	4	50	23	10	3	13	4	29	20	54	35	35	23	47	41	4	1	32	5	16	3	50	19
Q9UBU7_pIC50	12	1	14	5	16	8	16	8	1	1	3	1	2	1	8	1	9	6	27	7	7	6	22	7	2	1	3	1	1	1	3	1
Q9UIQ6_pKi	19	5	19	5	15	5	15	5	1	0	13	2	1	0	2	1	16	10	16	10	17	7	17	7	6	1	63	8	3	1	10	1
Q9UKP6_pIC50	5	4	16	5	5	4	17	5	4	1	4	2	4	3	4	3	11	4	26	4	4	3	12	4	2	1	6	1	2	1	4	1
Q9UKP6_pKi	8	5	14	6	9	5	10	5	8	4	9	4	8	4	8	4	6	4	11	4	8	4	16	8	5	2	5	2	8	2	8	2
Q9UQL6_pIC50	31	6	56	40	6	2	53	31	6	1	65	13	1	1	17	1	25	16	29	25	25	10	28	18	13	1	27	7	1	1	6	1
Q9Y239_pIC50	19	11	63	51	19	10	54	39	43	16	60	37	26	6	47	18	22	11	69	58	9	6	55	23	13	3	75	35	23	5	78	42
Q9Y337_pIC50	13	7	15	12	22	11	22	11	22	14	66	24	26	16	86	69	31	23	40	25	36	22	45	36	17	10	32	14	30	10	49	31
Q9Y5Y4_pKi	28	17	41	24	28	18	65	40	8	5	34	14	31	12	60	40	30	20	55	30	51	20	54	28	28	13	47	27	26	8	59	37
