N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
P80365_pIC50	124	32	166	0.91342
P98170_pIC50	447	112	166	0.98248
P98170_pKi	116	30	166	0.98
Q00535_pIC50	316	79	166	0.81996
Q00975_pIC50	484	122	166	0.89205
Q00G26_pIC50	216	55	166	0.78741
Q01064_pEC50	69	18	166	0.69231
Q01064_pIC50	243	61	166	0.87815
Q01726_pEC50	300	76	166	0.68429
Q01726_pIC50	135	34	166	0.75208
Q01726_pKi	193	49	166	0.8888
Q01959_pIC50	898	225	166	0.85543
Q01959_pKi	789	198	166	0.90195
Q02083_pIC50	75	19	166	0.80357
Q02127_pIC50	292	74	166	0.80441
Q02127_pKi	151	38	166	0.97101
Q02156_pIC50	189	48	166	0.74004
Q02750_pIC50	419	105	166	0.85373
Q02763_pIC50	516	130	166	0.87145
Q03181_pEC50	825	207	166	0.86157
Q03181_pIC50	267	67	166	0.89231
Q04206_pEC50	804	202	166	0.64579
Q04609_pIC50	108	27	166	0.78571
Q04759_pIC50	368	92	166	0.71801
Q05397_pIC50	712	178	166	0.79517
Q05586_pIC50	99	25	166	0.91176
Q05655_pIC50	355	89	166	0.84903
Q05655_pKi	94	24	166	0.81513
Q06124_pIC50	297	75	166	0.76991
Q06187_pIC50	486	122	166	0.86937
Q06418_pIC50	188	47	166	0.72398
Q07343_pIC50	1064	266	166	0.90761
Q07343_pKi	192	49	166	0.78309
Q07817_pEC50	86	22	166	0.87054
Q07817_pIC50	401	101	166	0.95784
Q07817_pKi	210	53	166	0.96554
Q07869_pEC50	1422	356	166	0.83524
Q07869_pIC50	520	130	166	0.80665
Q07869_pKi	88	22	166	0.94167
Q07912_pIC50	285	72	166	0.75638
Q07973_pIC50	45	12	166	0.88889
Q08499_pIC50	413	104	166	0.94931
Q08499_pKi	43	11	166	1
Q08881_pIC50	416	104	166	0.78104
Q12809_pIC50	3383	846	166	0.80842
Q12809_pKi	842	211	166	0.90359
Q12866_pIC50	158	40	166	0.819
Q12884_pIC50	108	28	166	0.82908
Q12908_pIC50	151	38	166	0.86458
Q13002_pKi	86	22	166	0.93333
Q13085_pIC50	160	41	166	0.83333
Q13093_pIC50	305	77	166	0.87052
Q13133_pEC50	302	76	166	0.80423
Q13133_pIC50	317	80	166	0.95842
Q13255_pEC50	117	30	166	0.91176
Q13255_pIC50	408	102	166	0.92031
Q13258_pIC50	228	57	166	0.92602
Q13258_pKi	147	37	166	0.93531
Q13285_pEC50	153	39	166	0.87364
Q13285_pIC50	284	71	166	0.79301
Q13464_pIC50	373	94	166	0.89702
Q13490_pIC50	125	32	166	0.91852
Q13526_pKd	55	14	166	0.93878
Q13535_pIC50	92	23	166	0.7451
Q13547_pIC50	2349	588	166	0.90204
Q13557_pIC50	71	18	166	0.70833
Q13627_pIC50	316	80	166	0.84079
Q13639_pKi	232	58	166	0.99375
Q13822_pIC50	245	62	166	0.85479
Q13822_pKi	53	14	166	0.85417
Q13936_pIC50	145	37	166	0.96324
Q13946_pIC50	236	59	166	0.88106
Q14164_pIC50	214	54	166	0.88542
Q14289_pIC50	174	44	166	0.88671
Q14416_pEC50	563	141	166	0.72212
Q14416_pIC50	289	73	166	0.98447
Q14416_pKi	131	33	166	0.90046
Q14432_pIC50	552	139	166	0.92811
Q14524_pIC50	316	80	166	0.91875
Q14534_pIC50	52	14	166	0.65556
Q14654_pEC50	68	17	166	0.87857
Q14790_pIC50	196	50	166	0.8264
Q14832_pEC50	60	15	166	0.83
Q14832_pIC50	60	16	166	0.81667
Q14833_pEC50	257	65	166	0.83772
Q14994_pIC50	44	12	166	0.85714
Q15059_pIC50	83	21	166	0.83182
Q15077_pEC50	109	28	166	0.7807
Q15078_pIC50	688	173	166	0.87849
Q15118_pIC50	84	22	166	0.875
Q15722_pKi	124	31	166	0.91369
Q15759_pIC50	68	17	166	0.6875
Q15761_pIC50	582	146	166	0.87205
Q15761_pKi	357	90	166	0.70988
Q15858_pIC50	817	205	166	0.80008
Q15858_pKi	64	16	166	0.49167
Q15910_pIC50	99	25	166	0.77778
Q16445_pKi	87	22	166	1
Q16572_pIC50	68	18	166	0.63889
Q16572_pKi	95	24	166	0.68947
Q16581_pIC50	91	23	166	0.68304
Q16602_pIC50	404	102	166	0.9048
Q16602_pKi	412	103	166	0.81464
Q16665_pIC50	172	43	166	0.93333
Q16769_pIC50	193	49	166	0.99074
Q16769_pKi	189	48	166	0.90892
Q16790_pIC50	62	16	166	0.92857
Q16790_pKi	1861	466	166	0.94022
Q16832_pKd	45	12	166	0.88571
Q16853_pIC50	143	36	166	0.81076
Q5NUL3_pEC50	177	45	166	0.85277
Q5S007_pIC50	198	50	166	0.70387
Q5XXA6_pIC50	57	15	166	0.74074
Q6V1X1_pIC50	712	178	166	0.84832
Q6V1X1_pKi	103	26	166	0.95536
Q7Z2W7_pIC50	117	30	166	0.88889
Q7Z601_pEC50	86	22	166	0.67188
Q86TI2_pIC50	442	111	166	0.94476
Q86TI2_pKi	89	23	166	0.95385
Q86X55_pIC50	82	21	166	0.92347
Q8IU80_pKi	78	20	166	1
Q8N1Q1_pKi	64	17	166	0.98333
Q8NER1_pEC50	273	69	166	0.90123
Q8NER1_pIC50	985	247	166	0.83972
Q8NER1_pKi	385	97	166	0.88004
Q8TCT1_pIC50	52	14	166	0.52041
Q8TDS4_pEC50	324	82	166	0.77232
Q8TDS4_pIC50	176	44	166	0.9375
Q8TDU6_pEC50	336	84	166	0.88
Q8TDV5_pEC50	607	152	166	0.81022
Q8TEK3_pKi	48	12	166	1
Q8WUI4_pIC50	84	21	166	0.83654
Q92630_pIC50	67	17	166	0.75833
Q92633_pIC50	99	25	166	0.76984
Q92731_pEC50	356	90	166	0.86762
Q92731_pIC50	1288	322	166	0.89401
Q92731_pKi	186	47	166	0.91892
Q92769_pIC50	483	121	166	0.91003
Q92793_pIC50	124	32	166	0.92641
Q92847_pEC50	352	88	166	0.93474
Q92847_pIC50	516	130	166	0.89809
Q92847_pKi	158	40	166	0.8871
Q969S8_pIC50	133	34	166	0.81042
Q96DB2_pIC50	79	20	166	0.82418
Q96EB6_pIC50	360	90	166	0.94
Q96GD4_pIC50	1014	254	166	0.93534
Q96GD4_pKi	96	24	166	1
Q96IY4_pIC50	134	34	166	0.72222
Q96KQ7_pIC50	90	23	166	0.98462
Q96KS0_pIC50	103	26	166	0.96667
Q96LD8_pIC50	675	169	166	0.66824
Q96P65_pEC50	43	11	166	0.6
Q96RI1_pEC50	432	108	166	0.8549
Q96RI1_pIC50	160	41	166	0.88049
Q96RJ0_pEC50	416	105	166	0.79155
Q96RJ0_pIC50	324	81	166	0.55
Q96S37_pIC50	60	15	166	0.68
Q99250_pIC50	76	20	166	0.63736
Q99500_pEC50	412	104	166	0.81585
Q99500_pIC50	337	85	166	0.96882
Q99572_pIC50	660	166	166	0.71729
Q99683_pIC50	98	25	166	0.88141
Q99685_pIC50	236	60	166	0.91935
Q99720_pIC50	460	115	166	0.90814
Q99720_pKi	971	243	166	0.87997
Q99808_pIC50	122	31	166	0.89035
Q99814_pIC50	152	38	166	0.5303
Q99835_pIC50	287	72	166	0.84873
Q99895_pIC50	70	18	166	0.69444
Q9BUB5_pIC50	56	14	166	0.875
Q9BY41_pIC50	639	160	166	0.8933
Q9GZT9_pIC50	256	65	166	0.91458
Q9H228_pEC50	177	45	166	0.79679
Q9H244_pIC50	414	104	166	0.88578
Q9H244_pKi	456	115	166	0.93226
Q9H2X9_pEC50	352	89	166	0.70035
Q9H3N8_pKi	648	163	166	0.81982
Q9H3R0_pIC50	223	56	166	0.79524
Q9H5J4_pIC50	84	21	166	0.6625
Q9HAZ1_pIC50	148	38	166	0.86615
Q9HC29_pIC50	497	125	166	0.57446
Q9HC97_pEC50	101	26	166	0.84211
Q9HC97_pIC50	154	39	166	0.71296
Q9HCR9_pIC50	84	21	166	0.70909
Q9NPH5_pKi	73	19	166	0.97619
Q9NR97_pEC50	68	18	166	0.80625
Q9NRA0_pIC50	83	21	166	0.72778
Q9NTG7_pIC50	124	32	166	0.95227
Q9NWZ3_pIC50	492	123	166	0.92092
Q9NYA1_pIC50	135	34	166	0.83684
Q9NYA1_pKi	73	19	166	0.85714
Q9NYK1_pEC50	154	39	166	0.89
Q9UBN7_pIC50	995	249	166	0.85473
Q9UBY5_pIC50	59	15	166	0.84259
Q9UBY5_pKi	47	12	166	0.88571
Q9UGL1_pIC50	118	30	166	0.94886
Q9UGN5_pIC50	40	10	166	0.78
Q9UHD2_pIC50	288	72	166	0.83712
Q9UHL4_pIC50	832	208	166	0.90261
Q9UKV0_pIC50	65	17	166	0.83333
Q9ULX7_pKi	388	98	166	0.95625
Q9UM73_pIC50	624	156	166	0.89808
Q9UNA0_pIC50	336	85	166	0.85723
Q9UNQ0_pEC50	90	23	166	0.87308
Q9UNQ0_pIC50	347	87	166	0.84189
Q9UQB9_pKd	43	11	166	0.73333
Q9UQL6_pIC50	77	20	166	0.69
Q9Y233_pIC50	585	147	166	0.87534
Q9Y233_pKi	212	54	166	0.67841
Q9Y239_pEC50	452	114	166	0.75
Q9Y239_pIC50	298	75	166	0.87424
Q9Y243_pIC50	166	42	166	0.78333
Q9Y251_pIC50	130	33	166	0.70221
Q9Y271_pIC50	299	75	166	0.77778
Q9Y271_pKi	89	23	166	0.91176
Q9Y2D0_pKi	194	49	166	0.97704
Q9Y2R2_pIC50	247	62	166	0.80503
Q9Y2T6_pEC50	181	46	166	0.82234
Q9Y2T6_pIC50	307	77	166	0.57483
Q9Y337_pIC50	1007	252	166	0.82656
Q9Y345_pIC50	72	19	166	0.77381
Q9Y463_pIC50	133	34	166	0.82143
Q9Y5N1_pIC50	265	67	166	0.9594
Q9Y5N1_pKi	2055	514	166	0.89831
Q9Y5Y4_pIC50	900	225	166	0.75291
Q9Y5Y4_pKi	440	110	166	0.92447
Q9Y5Y6_pKi	216	54	166	0.88718
Q9Y5Z0_pIC50	407	102	166	0.90774
Q9Y5Z0_pKi	42	11	166	0.63333
Q9Y6L6_pIC50	88	22	166	0.59821
