N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
P80365_pIC50	124	32	166	0.83766
P98170_pIC50	447	112	166	0.94524
P98170_pKi	116	30	166	0.925
Q00535_pIC50	316	79	166	0.72112
Q00975_pIC50	484	122	166	0.8516
Q00G26_pIC50	216	55	166	0.4898
Q01064_pEC50	69	18	166	0.52308
Q01064_pIC50	243	61	166	0.81236
Q01726_pEC50	300	76	166	0.63141
Q01726_pIC50	135	34	166	0.7875
Q01726_pKi	193	49	166	0.78512
Q01959_pIC50	898	225	166	0.71208
Q01959_pKi	789	198	166	0.85207
Q02083_pIC50	75	19	166	0.81548
Q02127_pIC50	292	74	166	0.75515
Q02127_pKi	151	38	166	0.90145
Q02156_pIC50	189	48	166	0.70778
Q02750_pIC50	419	105	166	0.76622
Q02763_pIC50	516	130	166	0.73118
Q03181_pEC50	825	207	166	0.74526
Q03181_pIC50	267	67	166	0.79038
Q04206_pEC50	804	202	166	0.55342
Q04609_pIC50	108	27	166	0.61429
Q04759_pIC50	368	92	166	0.6131
Q05397_pIC50	712	178	166	0.71918
Q05586_pIC50	99	25	166	0.69118
Q05655_pIC50	355	89	166	0.69535
Q05655_pKi	94	24	166	0.72689
Q06124_pIC50	297	75	166	0.58255
Q06187_pIC50	486	122	166	0.56388
Q06418_pIC50	188	47	166	0.66629
Q07343_pIC50	1064	266	166	0.80554
Q07343_pKi	192	49	166	0.71599
Q07817_pEC50	86	22	166	0.77679
Q07817_pIC50	401	101	166	0.93039
Q07817_pKi	210	53	166	0.92229
Q07869_pEC50	1422	356	166	0.76875
Q07869_pIC50	520	130	166	0.70836
Q07869_pKi	88	22	166	0.81667
Q07912_pIC50	285	72	166	0.67037
Q07973_pIC50	45	12	166	0.83333
Q08499_pIC50	413	104	166	0.84615
Q08499_pKi	43	11	166	0.91667
Q08881_pIC50	416	104	166	0.59812
Q12809_pIC50	3383	846	166	0.71019
Q12809_pKi	842	211	166	0.78302
Q12866_pIC50	158	40	166	0.63441
Q12884_pIC50	108	28	166	0.85714
Q12908_pIC50	151	38	166	0.73438
Q13002_pKi	86	22	166	0.89524
Q13085_pIC50	160	41	166	0.63218
Q13093_pIC50	305	77	166	0.65152
Q13133_pEC50	302	76	166	0.74809
Q13133_pIC50	317	80	166	0.89419
Q13255_pEC50	117	30	166	0.83484
Q13255_pIC50	408	102	166	0.8
Q13258_pIC50	228	57	166	0.75
Q13258_pKi	147	37	166	0.7535
Q13285_pEC50	153	39	166	0.84375
Q13285_pIC50	284	71	166	0.72222
Q13464_pIC50	373	94	166	0.80417
Q13490_pIC50	125	32	166	0.84444
Q13526_pKd	55	14	166	0.92857
Q13535_pIC50	92	23	166	0.63725
Q13547_pIC50	2349	588	166	0.78728
Q13557_pIC50	71	18	166	0.41667
Q13627_pIC50	316	80	166	0.73657
Q13639_pKi	232	58	166	0.865
Q13822_pIC50	245	62	166	0.70801
Q13822_pKi	53	14	166	0.6875
Q13936_pIC50	145	37	166	0.91618
Q13946_pIC50	236	59	166	0.76591
Q14164_pIC50	214	54	166	0.71875
Q14289_pIC50	174	44	166	0.92266
Q14416_pEC50	563	141	166	0.64298
Q14416_pIC50	289	73	166	0.91174
Q14416_pKi	131	33	166	0.84722
Q14432_pIC50	552	139	166	0.8574
Q14524_pIC50	316	80	166	0.84167
Q14534_pIC50	52	14	166	0.74444
Q14654_pEC50	68	17	166	0.87857
Q14790_pIC50	196	50	166	0.76
Q14832_pEC50	60	15	166	0.75
Q14832_pIC50	60	16	166	0.81667
Q14833_pEC50	257	65	166	0.79971
Q14994_pIC50	44	12	166	0.8
Q15059_pIC50	83	21	166	0.81364
Q15077_pEC50	109	28	166	0.75439
Q15078_pIC50	688	173	166	0.81402
Q15118_pIC50	84	22	166	0.60417
Q15722_pKi	124	31	166	0.79464
Q15759_pIC50	68	17	166	0.69444
Q15761_pIC50	582	146	166	0.67441
Q15761_pKi	357	90	166	0.54321
Q15858_pIC50	817	205	166	0.67576
Q15858_pKi	64	16	166	0.43333
Q15910_pIC50	99	25	166	0.74653
Q16445_pKi	87	22	166	1
Q16572_pIC50	68	18	166	0.66667
Q16572_pKi	95	24	166	0.62105
Q16581_pIC50	91	23	166	0.71429
Q16602_pIC50	404	102	166	0.76381
Q16602_pKi	412	103	166	0.60602
Q16665_pIC50	172	43	166	0.7359
Q16769_pIC50	193	49	166	0.95455
Q16769_pKi	189	48	166	0.83681
Q16790_pIC50	62	16	166	0.92857
Q16790_pKi	1861	466	166	0.88969
Q16832_pKd	45	12	166	0.62857
Q16853_pIC50	143	36	166	0.72917
Q5NUL3_pEC50	177	45	166	0.77866
Q5S007_pIC50	198	50	166	0.56548
Q5XXA6_pIC50	57	15	166	0.66667
Q6V1X1_pIC50	712	178	166	0.74159
Q6V1X1_pKi	103	26	166	0.84524
Q7Z2W7_pIC50	117	30	166	0.69841
Q7Z601_pEC50	86	22	166	0.66667
Q86TI2_pIC50	442	111	166	0.8496
Q86TI2_pKi	89	23	166	0.87308
Q86X55_pIC50	82	21	166	0.75
Q8IU80_pKi	78	20	166	1
Q8N1Q1_pKi	64	17	166	0.8
Q8NER1_pEC50	273	69	166	0.83696
Q8NER1_pIC50	985	247	166	0.71232
Q8NER1_pKi	385	97	166	0.65018
Q8TCT1_pIC50	52	14	166	0.5
Q8TDS4_pEC50	324	82	166	0.70952
Q8TDS4_pIC50	176	44	166	0.75694
Q8TDU6_pEC50	336	84	166	0.77353
Q8TDV5_pEC50	607	152	166	0.69401
Q8TEK3_pKi	48	12	166	1
Q8WUI4_pIC50	84	21	166	0.73558
Q92630_pIC50	67	17	166	0.65833
Q92633_pIC50	99	25	166	0.74603
Q92731_pEC50	356	90	166	0.6366
Q92731_pIC50	1288	322	166	0.83882
Q92731_pKi	186	47	166	0.73649
Q92769_pIC50	483	121	166	0.80664
Q92793_pIC50	124	32	166	0.88312
Q92847_pEC50	352	88	166	0.70811
Q92847_pIC50	516	130	166	0.60256
Q92847_pKi	158	40	166	0.67384
Q969S8_pIC50	133	34	166	0.7875
Q96DB2_pIC50	79	20	166	0.78022
Q96EB6_pIC50	360	90	166	0.87857
Q96GD4_pIC50	1014	254	166	0.8402
Q96GD4_pKi	96	24	166	0.83333
Q96IY4_pIC50	134	34	166	0.59111
Q96KQ7_pIC50	90	23	166	0.96154
Q96KS0_pIC50	103	26	166	0.87619
Q96LD8_pIC50	675	169	166	0.49371
Q96P65_pEC50	43	11	166	0.45
Q96RI1_pEC50	432	108	166	0.75759
Q96RI1_pIC50	160	41	166	0.79808
Q96RJ0_pEC50	416	105	166	0.61538
Q96RJ0_pIC50	324	81	166	0.48592
Q96S37_pIC50	60	15	166	0.55
Q99250_pIC50	76	20	166	0.5989
Q99500_pEC50	412	104	166	0.78419
Q99500_pIC50	337	85	166	0.87617
Q99572_pIC50	660	166	166	0.60445
Q99683_pIC50	98	25	166	0.83654
Q99685_pIC50	236	60	166	0.85039
Q99720_pIC50	460	115	166	0.82355
Q99720_pKi	971	243	166	0.69061
Q99808_pIC50	122	31	166	0.78509
Q99814_pIC50	152	38	166	0.48485
Q99835_pIC50	287	72	166	0.62817
Q99895_pIC50	70	18	166	0.75
Q9BUB5_pIC50	56	14	166	0.70833
Q9BY41_pIC50	639	160	166	0.83811
Q9GZT9_pIC50	256	65	166	0.8388
Q9H228_pEC50	177	45	166	0.59358
Q9H244_pIC50	414	104	166	0.77212
Q9H244_pKi	456	115	166	0.80376
Q9H2X9_pEC50	352	89	166	0.63676
Q9H3N8_pKi	648	163	166	0.7169
Q9H3R0_pIC50	223	56	166	0.7
Q9H5J4_pIC50	84	21	166	0.5375
Q9HAZ1_pIC50	148	38	166	0.67231
Q9HC29_pIC50	497	125	166	0.63862
Q9HC97_pEC50	101	26	166	0.73308
Q9HC97_pIC50	154	39	166	0.57407
Q9HCR9_pIC50	84	21	166	0.56364
Q9NPH5_pKi	73	19	166	0.92857
Q9NR97_pEC50	68	18	166	0.7625
Q9NRA0_pIC50	83	21	166	0.7
Q9NTG7_pIC50	124	32	166	0.80455
Q9NWZ3_pIC50	492	123	166	0.67175
Q9NYA1_pIC50	135	34	166	0.82105
Q9NYA1_pKi	73	19	166	0.65714
Q9NYK1_pEC50	154	39	166	0.73286
Q9UBN7_pIC50	995	249	166	0.71302
Q9UBY5_pIC50	59	15	166	0.75
Q9UBY5_pKi	47	12	166	0.72857
Q9UGL1_pIC50	118	30	166	0.89205
Q9UGN5_pIC50	40	10	166	0.7
Q9UHD2_pIC50	288	72	166	0.58333
Q9UHL4_pIC50	832	208	166	0.82692
Q9UKV0_pIC50	65	17	166	0.78788
Q9ULX7_pKi	388	98	166	0.90216
Q9UM73_pIC50	624	156	166	0.69509
Q9UNA0_pIC50	336	85	166	0.77389
Q9UNQ0_pEC50	90	23	166	0.74615
Q9UNQ0_pIC50	347	87	166	0.80892
Q9UQB9_pKd	43	11	166	0.73333
Q9UQL6_pIC50	77	20	166	0.55
Q9Y233_pIC50	585	147	166	0.71222
Q9Y233_pKi	212	54	166	0.49318
Q9Y239_pEC50	452	114	166	0.75
Q9Y239_pIC50	298	75	166	0.68864
Q9Y243_pIC50	166	42	166	0.61667
Q9Y251_pIC50	130	33	166	0.57721
Q9Y271_pIC50	299	75	166	0.60354
Q9Y271_pKi	89	23	166	0.72059
Q9Y2D0_pKi	194	49	166	0.93452
Q9Y2R2_pIC50	247	62	166	0.74004
Q9Y2T6_pEC50	181	46	166	0.71429
Q9Y2T6_pIC50	307	77	166	0.54762
Q9Y337_pIC50	1007	252	166	0.6626
Q9Y345_pIC50	72	19	166	0.70238
Q9Y463_pIC50	133	34	166	0.73214
Q9Y5N1_pIC50	265	67	166	0.84615
Q9Y5N1_pKi	2055	514	166	0.69148
Q9Y5Y4_pIC50	900	225	166	0.56715
Q9Y5Y4_pKi	440	110	166	0.78471
Q9Y5Y6_pKi	216	54	166	0.81538
Q9Y5Z0_pIC50	407	102	166	0.84371
Q9Y5Z0_pKi	42	11	166	0.71667
Q9Y6L6_pIC50	88	22	166	0.51786
