fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P35348_pKi	0.8151	0.812812	0.765611	0.759435	0.773966	0.793212	0.74785	0.760471	0.729371	0.738328	0.654102	0.708981	0.673384	0.774277	0.57861	0.744049
P35354_pIC50	0.775816	0.781647	0.749248	0.752349	0.773318	0.782659	0.747506	0.754422	0.788979	0.78742	0.758076	0.758526	0.771318	0.784887	0.742857	0.757602
P35368_pKi	0.723989	0.724244	0.713391	0.717227	0.702023	0.713885	0.67417	0.712037	0.731603	0.722961	0.70744	0.7146	0.685079	0.723936	0.681823	0.681641
P35462_pKi	0.738017	0.741272	0.681927	0.687634	0.73716	0.738789	0.669744	0.687122	0.729889	0.737878	0.681154	0.671119	0.721194	0.736683	0.663015	0.683449
P36544_pKi	0.869059	0.870074	0.831322	0.847584	0.841132	0.870714	0.847035	0.836039	0.877725	0.857514	0.87261	0.87261	0.80472	0.838327	0.813906	0.857638
P36888_pKd	0.815237	0.833392	0.817202	0.801069	0.821071	0.821071	0.76607	0.76607	0.807085	0.808273	0.756965	0.756252	0.844048	0.839999	0.751728	0.751728
P39900_pIC50	0.813956	0.8216	0.830208	0.828529	0.84031	0.827543	0.851715	0.853312	0.803327	0.814248	0.858384	0.846477	0.805809	0.809618	0.828852	0.839722
P41595_pKi	0.652222	0.645576	0.616841	0.602579	0.608554	0.648588	0.577412	0.574983	0.627965	0.639348	0.612359	0.609925	0.567009	0.637856	0.561242	0.598729
P42338_pIC50	0.715265	0.727077	0.714912	0.722462	0.717742	0.730791	0.680968	0.711393	0.70289	0.691765	0.71199	0.724993	0.711212	0.726573	0.640312	0.722143
P48730_pIC50	0.76125	0.76125	0.726833	0.726833	0.666917	0.756749	0.758	0.758	0.727666	0.748666	0.721584	0.754083	0.765166	0.754834	0.746917	0.746917
