target_measurement	structure_features
P00491_pKi	constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomLC,constitutional_nBase,topological_nSmallRings,topological_nRingBlocks,topological_nRings5,topological_khs.aasN,topological_FMF,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_VCH.6,topological_VCH.7,topological_C3SP2,topological_C1SP3,topological_C2SP3,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5
P00519_pKi	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,electronic_RPCG,geometrical_geomShape,geometrical_MOMI.XY,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_LOBMAX,geometrical_LOBMIN,geometrical_RPCG,hybrid_Wlambda2.unity,hybrid_Wlambda3.unity,hybrid_Wnu1.unity,hybrid_Wnu2.unity,hybrid_WK.unity,hybrid_BCUTc.1h,topological_nRings3,topological_nRings5,topological_geomShape,topological_MDEC.23,topological_MDEC.33,topological_MDEO.22,topological_MDEN.12,topological_MDEN.13,topological_MDEN.22,topological_MDEN.23,topological_khs.tsC,topological_khs.dssC,topological_khs.ssNH,topological_khs.tN,topological_khs.aasN,topological_khs.dO,topological_khs.ssO,topological_khs.ssS,topological_khs.sBr,topological_SCH.5,topological_SCH.6,topological_VCH.4,topological_VCH.5,topological_VCH.7,topological_C1SP1,topological_ATSm1,topological_ATSc5
P00533_pKi	topological_nRings5,topological_khs.aaaC
P00734_pKi	constitutional_nAtomLAC,constitutional_nAtomP,hybrid_Wnu1.unity,hybrid_Weta3.unity,hybrid_WK.unity,hybrid_BCUTw.1h,hybrid_BCUTp.1h,topological_nRings5,topological_nRings6,topological_MDEC.23,topological_MDEC.33,topological_MDEO.12,topological_MDEN.11,topological_MDEN.13,topological_MDEN.23,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.dNH,topological_khs.sssN,topological_khs.aasN,topological_khs.ssO,topological_khs.ddssS,topological_HybRatio,topological_FMF,topological_SCH.5,topological_VCH.5,topological_C2SP2,topological_C3SP2,topological_C1SP3,topological_C2SP3,topological_ATSc3,topological_ATSc4
P00740_pKi	constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomLC,hybrid_BCUTp.1h,topological_nAromRings,topological_MDEO.12,topological_khs.aaaC,topological_C3SP3,topological_ATSc1,topological_ATSc4
P00742_pKi	constitutional_MW,constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nBase,electronic_nHBDon,electronic_nHBAcc,electronic_PNSA.1,electronic_FPSA.3,electronic_WNSA.1,geometrical_MOMI.X,geometrical_MOMI.XY,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_MOMI.R,geometrical_GRAV.1,geometrical_GRAV.2,geometrical_GRAV.3,geometrical_GRAVH.3,geometrical_GRAV.4,geometrical_GRAV.5,geometrical_GRAV.6,geometrical_PNSA.1,geometrical_FPSA.3,geometrical_WNSA.1,hybrid_Wlambda1.unity,hybrid_Wlambda2.unity,hybrid_Wlambda3.unity,hybrid_Wnu1.unity,hybrid_Wnu2.unity,hybrid_WK.unity,hybrid_BCUTw.1h,hybrid_BCUTc.1h,topological_nSmallRings,topological_nRingBlocks,topological_nRings5,topological_Zagreb,topological_WPOL,topological_MDEC.14,topological_MDEC.33,topological_MDEO.12,topological_MDEO.22,topological_MDEN.11,topological_MDEN.23,topological_khs.sssCH,topological_khs.sNH2,topological_khs.dNH,topological_khs.aasN,topological_khs.sOH,topological_khs.ssO,topological_khs.sCl,topological_Kier3,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.6,topological_VCH.7,topological_C1SP2,topological_C3SP3,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSm2,topological_ATSm3,topological_ATSm4,topological_ATSm5,topological_ATSc5
P00747_pIC50	electronic_nHBDon,topological_khs.dssC,topological_khs.dNH,topological_khs.ssNH,topological_khs.dO,topological_khs.ssO,topological_C3SP3
P00748_pKi	electronic_nHBDon,hybrid_BCUTw.1l,topological_C1SP2,topological_C2SP2
P00749_pIC50	constitutional_nBase,electronic_RPCG,geometrical_MOMI.XZ,geometrical_MOMI.YZ,hybrid_Wnu2.unity,hybrid_WK.unity,topological_MDEN.12,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aaN
P00750_pIC50	hybrid_BCUTc.1h,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_khs.sssCH,topological_SCH.5,topological_C2SP3
P00797_pKi	hybrid_BCUTw.1h,hybrid_BCUTc.1h,topological_nRings5,topological_MDEC.24,topological_MDEC.44,topological_MDEN.22,topological_khs.dsCH,topological_khs.sF,topological_SCH.5,topological_VCH.7,topological_ATSc3
P00915_pKi	constitutional_XLogP,constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomP,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBDon,electronic_nHBAcc,electronic_PPSA.3,electronic_PNSA.1,electronic_PNSA.3,electronic_DPSA.1,electronic_DPSA.3,electronic_FPSA.1,electronic_FNSA.1,electronic_WNSA.1,electronic_RNCG,electronic_TPSA,geometrical_MOMI.YZ,geometrical_MOMI.R,geometrical_GRAV.1,geometrical_GRAV.2,geometrical_GRAV.3,geometrical_GRAVH.2,geometrical_GRAVH.3,geometrical_PPSA.3,geometrical_PNSA.1,geometrical_PNSA.3,geometrical_DPSA.1,geometrical_DPSA.3,geometrical_FPSA.1,geometrical_FNSA.1,geometrical_WNSA.1,geometrical_RNCG,geometrical_TPSA,hybrid_Wlambda3.unity,hybrid_WT.unity,hybrid_BCUTc.1l,hybrid_BCUTp.1h,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.22,topological_MDEN.12,topological_MDEN.22,topological_khs.aaCH,topological_khs.dssC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.dsN,topological_khs.aaN,topological_khs.dO,topological_khs.dS,topological_khs.aaS,topological_khs.ddssS,topological_Kier3,topological_SCH.5,topological_SCH.6,topological_VCH.5,topological_ATSm2,topological_ATSc2,topological_ATSc3
P00918_pIC50	electronic_tpsaEfficiency,electronic_TopoPSA,electronic_bpol,hybrid_BCUTc.1h,hybrid_BCUTp.1h,topological_nRings5,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.33,topological_khs.sNH2,topological_khs.sOH,topological_khs.dO,topological_khs.aaO,topological_khs.ddssS,topological_khs.sCl,topological_SCH.5,topological_VCH.5,topological_C3SP2,topological_ATSm2
P01375_pIC50	constitutional_ALogP,constitutional_ALogp2,hybrid_BCUTw.1l,topological_nRings5,topological_MDEC.11,topological_MDEC.13,topological_MDEC.24,topological_MDEC.34,topological_MDEN.23,topological_khs.tsC,topological_khs.ssssC,topological_khs.aasN,topological_khs.ssO,topological_SCH.6,topological_SCH.7,topological_VCH.6,topological_C2SP1,topological_C3SP3,topological_ATSc1,topological_ATSc2
P03372_pIC50	constitutional_XLogP,constitutional_LipinskiFailures,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nB,constitutional_nBase,constitutional_nAtom,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,constitutional_AMR,electronic_tpsaEfficiency,electronic_nHBDon,electronic_nHBAcc,electronic_RPCG,electronic_RNCG,electronic_RPCS,electronic_RNCS,electronic_bpol,electronic_apol,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_MOMI.R,geometrical_RPCG,geometrical_RNCG,geometrical_RPCS,geometrical_RNCS,hybrid_Wlambda1.unity,hybrid_Wlambda2.unity,hybrid_Wnu1.unity,hybrid_Wnu2.unity,hybrid_Weta1.unity,hybrid_Weta2.unity,hybrid_Weta3.unity,hybrid_WK.unity,hybrid_WD.unity,hybrid_BCUTw.1l,hybrid_BCUTc.1l,hybrid_BCUTc.1h,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_tpsaEfficiency,topological_Zagreb,topological_WPOL,topological_VAdjMat,topological_VABC,topological_MDEC.13,topological_MDEC.22,topological_MDEC.23,topological_MDEN.12,topological_MDEN.13,topological_MDEN.22,topological_MDEN.23,topological_MDEN.33,topological_khs.ssCH2,topological_khs.dsCH,topological_khs.aaCH,topological_khs.sssCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aaNH,topological_khs.aaN,topological_khs.sssN,topological_khs.aasN,topological_khs.sOH,topological_khs.dO,topological_khs.ssO,topological_khs.aaO,topological_HybRatio,topological_FMF,topological_SCH.5,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_C1SP3,topological_C2SP3,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSm2,topological_ATSm5,topological_ATSc1,topological_ATSc2,topological_ATSc3,topological_ATSc4,topological_ATSc5
P03952_pKi	constitutional_nRotB,constitutional_nAtomLAC,constitutional_nAtomP,hybrid_Wlambda2.unity,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_MDEC.33,topological_khs.ssNH,topological_khs.aaNH,topological_khs.aaN,topological_SCH.5,topological_C3SP3
P03956_pKi	constitutional_nAtomLAC,constitutional_nBase,electronic_nHBAcc,electronic_PNSA.3,electronic_DPSA.3,electronic_RPCS,geometrical_MOMI.R,geometrical_PNSA.3,geometrical_DPSA.3,geometrical_RPCS,hybrid_BCUTc.1l,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_MDEC.33,topological_MDEO.11,topological_MDEN.22,topological_MDEN.23,topological_MDEN.33,topological_khs.aaCH,topological_khs.sssCH,topological_khs.dssC,topological_khs.aasC,topological_khs.ssNH,topological_khs.aaN,topological_khs.sssN,topological_khs.ddsN,topological_khs.sOH,topological_khs.sSH,topological_khs.aaS,topological_FMF,topological_SCH.5,topological_SCH.6,topological_VCH.5,topological_VCH.6,topological_C1SP2,topological_C2SP2,topological_C1SP3,topological_C2SP3,topological_C3SP3,topological_ATSc5
P04035_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,topological_nRings3,topological_nRings5,topological_nRings6,topological_MDEC.12,topological_MDEO.12,topological_khs.aaaC,topological_khs.aasN,topological_khs.ssO,topological_FMF,topological_SCH.3,topological_SCH.4,topological_SCH.5,topological_VCH.3,topological_VCH.4,topological_VCH.6,topological_VCH.7,topological_C1SP2
P04054_pIC50	topological_MDEC.23,topological_MDEC.33,topological_MDEN.13,topological_khs.aaaC,topological_khs.sNH2,topological_khs.aasN,topological_khs.dO,topological_khs.ssO,topological_ATSp5,topological_ATSc3,topological_ATSc4
