	constitutional_XLogP	constitutional_MW	constitutional_LipinskiFailures	constitutional_nRotB	constitutional_MLogP	constitutional_nAtomLAC	constitutional_nAtomP	constitutional_nAtomLC	constitutional_nB	constitutional_nBase	constitutional_nAtom	constitutional_nAromBond	constitutional_naAromAtom	constitutional_ALogP	constitutional_ALogp2	constitutional_AMR	electronic_tpsaEfficiency	electronic_TopoPSA	electronic_nHBDon	electronic_nHBAcc	electronic_PPSA.1	electronic_PPSA.2	electronic_PPSA.3	electronic_PNSA.1	electronic_PNSA.2	electronic_PNSA.3	electronic_DPSA.1	electronic_DPSA.2	electronic_DPSA.3	electronic_FPSA.1	electronic_FPSA.2	electronic_FPSA.3	electronic_FNSA.1	electronic_FNSA.2	electronic_FNSA.3	electronic_WPSA.1	electronic_WPSA.2	electronic_WPSA.3	electronic_WNSA.1	electronic_WNSA.2	electronic_WNSA.3	electronic_RPCG	electronic_RNCG	electronic_RPCS	electronic_RNCS	electronic_THSA	electronic_TPSA	electronic_RHSA	electronic_RPSA	electronic_bpol	electronic_apol	geometrical_topoShape	geometrical_geomShape	geometrical_MOMI.X	geometrical_MOMI.Y	geometrical_MOMI.Z	geometrical_MOMI.XY	geometrical_MOMI.XZ	geometrical_MOMI.YZ	geometrical_MOMI.R	geometrical_LOBMAX	geometrical_LOBMIN	geometrical_GRAV.1	geometrical_GRAV.2	geometrical_GRAV.3	geometrical_GRAVH.1	geometrical_GRAVH.2	geometrical_GRAVH.3	geometrical_GRAV.4	geometrical_GRAV.5	geometrical_GRAV.6	geometrical_PPSA.1	geometrical_PPSA.2	geometrical_PPSA.3	geometrical_PNSA.1	geometrical_PNSA.2	geometrical_PNSA.3	geometrical_DPSA.1	geometrical_DPSA.2	geometrical_DPSA.3	geometrical_FPSA.1	geometrical_FPSA.2	geometrical_FPSA.3	geometrical_FNSA.1	geometrical_FNSA.2	geometrical_FNSA.3	geometrical_WPSA.1	geometrical_WPSA.2	geometrical_WPSA.3	geometrical_WNSA.1	geometrical_WNSA.2	geometrical_WNSA.3	geometrical_RPCG	geometrical_RNCG	geometrical_RPCS	geometrical_RNCS	geometrical_THSA	geometrical_TPSA	geometrical_RHSA	geometrical_RPSA	hybrid_Wlambda1.unity	hybrid_Wlambda2.unity	hybrid_Wlambda3.unity	hybrid_Wnu1.unity	hybrid_Wnu2.unity	hybrid_Weta1.unity	hybrid_Weta2.unity	hybrid_Weta3.unity	hybrid_WT.unity	hybrid_WA.unity	hybrid_WV.unity	hybrid_WK.unity	hybrid_WD.unity	hybrid_BCUTw.1l	hybrid_BCUTw.1h	hybrid_BCUTc.1l	hybrid_BCUTc.1h	hybrid_BCUTp.1l	hybrid_BCUTp.1h	topological_nSmallRings	topological_nAromRings	topological_nRingBlocks	topological_nAromBlocks	topological_nRings3	topological_nRings4	topological_nRings5	topological_nRings6	topological_nRings7	topological_nRings8	topological_nRings9	topological_tpsaEfficiency	topological_Zagreb	topological_WPATH	topological_WPOL	topological_VAdjMat	topological_VABC	topological_TopoPSA	topological_topoShape	topological_geomShape	topological_PetitjeanNumber	topological_MDEC.11	topological_MDEC.12	topological_MDEC.13	topological_MDEC.14	topological_MDEC.22	topological_MDEC.23	topological_MDEC.24	topological_MDEC.33	topological_MDEC.34	topological_MDEC.44	topological_MDEO.11	topological_MDEO.12	topological_MDEO.22	topological_MDEN.11	topological_MDEN.12	topological_MDEN.13	topological_MDEN.22	topological_MDEN.23	topological_MDEN.33	topological_khs.sLi	topological_khs.ssBe	topological_khs.ssssBe	topological_khs.ssBH	topological_khs.sssB	topological_khs.ssssB	topological_khs.sCH3	topological_khs.dCH2	topological_khs.ssCH2	topological_khs.tCH	topological_khs.dsCH	topological_khs.aaCH	topological_khs.sssCH	topological_khs.ddC	topological_khs.tsC	topological_khs.dssC	topological_khs.aasC	topological_khs.aaaC	topological_khs.ssssC	topological_khs.sNH3	topological_khs.sNH2	topological_khs.ssNH2	topological_khs.dNH	topological_khs.ssNH	topological_khs.aaNH	topological_khs.tN	topological_khs.sssNH	topological_khs.dsN	topological_khs.aaN	topological_khs.sssN	topological_khs.ddsN	topological_khs.aasN	topological_khs.ssssN	topological_khs.sOH	topological_khs.dO	topological_khs.ssO	topological_khs.aaO	topological_khs.sF	topological_khs.sSiH3	topological_khs.ssSiH2	topological_khs.sssSiH	topological_khs.ssssSi	topological_khs.sPH2	topological_khs.ssPH	topological_khs.sssP	topological_khs.dsssP	topological_khs.sssssP	topological_khs.sSH	topological_khs.dS	topological_khs.ssS	topological_khs.aaS	topological_khs.dssS	topological_khs.ddssS	topological_khs.sCl	topological_khs.sGeH3	topological_khs.ssGeH2	topological_khs.sssGeH	topological_khs.ssssGe	topological_khs.sAsH2	topological_khs.ssAsH	topological_khs.sssAs	topological_khs.sssdAs	topological_khs.sssssAs	topological_khs.sSeH	topological_khs.dSe	topological_khs.ssSe	topological_khs.aaSe	topological_khs.dssSe	topological_khs.ddssSe	topological_khs.sBr	topological_khs.sSnH3	topological_khs.ssSnH2	topological_khs.sssSnH	topological_khs.ssssSn	topological_khs.sI	topological_khs.sPbH3	topological_khs.ssPbH2	topological_khs.sssPbH	topological_khs.ssssPb	topological_Kier1	topological_Kier2	topological_Kier3	topological_HybRatio	topological_fragC	topological_FMF	topological_ECCEN	topological_SCH.3	topological_SCH.4	topological_SCH.5	topological_SCH.6	topological_SCH.7	topological_VCH.3	topological_VCH.4	topological_VCH.5	topological_VCH.6	topological_VCH.7	topological_C1SP1	topological_C2SP1	topological_C1SP2	topological_C2SP2	topological_C3SP2	topological_C1SP3	topological_C2SP3	topological_C3SP3	topological_C4SP3	topological_ATSp1	topological_ATSp2	topological_ATSp3	topological_ATSp4	topological_ATSp5	topological_ATSm1	topological_ATSm2	topological_ATSm3	topological_ATSm4	topological_ATSm5	topological_ATSc1	topological_ATSc2	topological_ATSc3	topological_ATSc4	topological_ATSc5	toxicity_label
paromomycin	-6.84700	615.29630	2	9	1.90000	0	0	2	45	5	87	0	0	-9.01950	81.35138	132.28900	0.56448	347.32000	13	19	627.55021	4265.71401	65.51061	221.68271	-1506.86756	-81.08618	405.86750	5772.58156	146.59679	0.73896	5.02302	0.07714	0.26104	-1.77439	-0.09548	532.93631	3622.58480	55.63377	188.26026	-1279.68155	-68.86105	0.03097	0.05781	0.18770	1.79134	510.72630	338.50663	0.60140	0.39860	57.39032	87.21368	0.88889	0.87747	15417.90934	12847.57795	4116.04743	1.20006	3.74580	3.12134	9.76785	2.45207	2.45207	3522.79128	59.35311	15.21583	4041.81320	63.57526	15.92913	10124.01567	100.61817	21.63304	627.55021	4265.71401	65.51061	221.68271	-1506.86756	-81.08618	405.86750	5772.58156	146.59679	0.73896	5.02302	0.07714	0.26104	-1.77439	-0.09548	532.93631	3622.58480	55.63377	188.26026	-1279.68155	-68.86105	0.03097	0.05781	0.18770	1.79134	510.72630	338.50663	0.60140	0.39860	1.74437	6.51224	21.18444	0.05925	0.22120	0.42061	0.44924	0.56134	29.44106	186.27153	456.36314	0.28967	1.43119	11.90000	16.00803	-0.39398	0.18850	4.39426	10.55709	4	0	4	0	0	0	1	3	0	0	0	0.56448	224	6111	80	6.49185	534.98525	347.32000	0.88889	0.87747	0.47059	0.00000	0.00000	0.00000	0.00000	0.62588	13.15026	0.00000	34.80077	0.00000	0.00000	3.08726	7.47696	3.24431	1.08090	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	0	0	4	0	0	0	19	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.86519	14.61350	7.06202	1.00000	6378.19000	0.29885	1177	0.00000	0.00000	0.07857	0.38132	1.00492	0.00000	0.00000	0.04536	0.18714	0.34560	0	0	0	0	0	6	17	0	0	2607.02983	3125.75276	4557.08683	5000.95351	4539.79679	54.64247	52.47275	81.44599	105.40082	92.44935	1.97869	-0.62900	-0.74370	0.42144	-0.34428	0
paroxetine	3.31900	329.14272	0	4	3.00000	0	9	2	27	1	44	12	12	2.34510	5.49949	85.12880	0.12068	39.72000	1	1	455.77202	823.66178	31.74985	179.65958	-324.67708	-31.40066	276.11244	1148.33886	63.15051	0.71726	1.29622	0.04997	0.28274	-0.51096	-0.04942	289.61194	523.38072	20.17486	114.16137	-206.31007	-19.95297	0.08812	0.19089	2.32243	0.78285	526.65728	108.77432	0.82882	0.17118	29.47514	50.83886	0.85714	0.90202	5760.24869	4643.88178	1376.56985	1.24040	4.18449	3.37352	7.96981	1.50082	1.40816	2106.38408	45.89536	12.81876	2307.27927	48.03415	13.21397	4419.84046	66.48188	16.41102	455.77202	823.66178	31.74985	179.65958	-324.67708	-31.40066	276.11244	1148.33886	63.15051	0.71726	1.29622	0.04997	0.28274	-0.51096	-0.04942	289.61194	523.38072	20.17486	114.16137	-206.31007	-19.95297	0.08812	0.19089	2.32243	0.78285	526.65728	108.77432	0.82882	0.17118	0.87664	4.29551	13.17689	0.04778	0.23410	0.36448	0.42882	0.46019	18.34904	71.91847	139.88651	0.28859	1.25349	11.99738	19.00014	-0.34512	0.16005	4.07112	10.82111	4	2	3	2	0	0	1	3	0	0	0	0.12068	128	1445	35	5.75489	293.57058	39.72000	0.85714	0.90202	0.46154	0.00000	0.00000	0.00000	0.00000	14.63886	23.03330	0.00000	5.37508	0.00000	0.00000	0.00000	0.00000	0.87721	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	0	0	5	0	0	7	2	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.41564	8.13148	4.23324	0.36842	1657.05000	0.52273	541	0.00000	0.00000	0.11785	0.40137	0.54879	0.00000	0.00000	0.02946	0.14478	0.15528	0	0	0	11	1	3	1	2	0	1483.63528	1737.13742	2376.81224	2279.45256	1881.85090	28.18543	29.90670	41.59505	39.15267	32.73636	0.57681	-0.34612	0.06752	-0.12944	0.19957	0
pasireotide	6.12400	1046.50142	4	19	5.75000	4	9	6	84	2	143	34	33	1.38080	1.90661	274.78770	0.26870	281.20000	9	17	1017.17168	6886.92213	68.92161	454.05950	-3074.28183	-71.31696	563.11218	9961.20396	140.23857	0.69137	4.68106	0.04685	0.30863	-2.08960	-0.04847	1496.49469	10132.25458	101.39962	668.02649	-4522.97929	-104.92373	0.04987	0.05033	0.20545	0.67801	1265.96196	205.26922	0.86048	0.13952	87.96966	164.30634	0.84615	0.94491	42689.90257	30750.66399	19119.42037	1.38826	2.23280	1.60835	13.25946	1.66712	1.66712	6481.19458	80.50587	18.64454	7169.45319	84.67262	19.28244	19492.78770	139.61657	26.91274	1017.17168	6886.92213	68.92161	454.05950	-3074.28183	-71.31696	563.11218	9961.20396	140.23857	0.69137	4.68106	0.04685	0.30863	-2.08960	-0.04847	1496.49469	10132.25458	101.39962	668.02649	-4522.97929	-104.92373	0.04987	0.05033	0.20545	0.67801	1265.96196	205.26922	0.86048	0.13952	4.26015	16.47213	28.45187	0.08662	0.33491	0.39621	0.52963	0.37298	49.18414	660.04569	2705.80268	0.18386	1.29883	11.90000	16.00309	-0.34115	0.33796	4.50279	11.59266	7	6	6	5	0	0	2	5	0	0	0	0.26870	396	28784	123	7.39232	975.91299	281.20000	0.84615	0.94491	0.45833	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.71584	1.62544	0.07143	0.04762	1.34823	0.19612	3.10857	1.26330	0.00000	0	0	0	0	0	0	0	0	12	0	0	24	7	0	0	7	6	2	0	0	2	0	0	6	1	0	0	0	0	1	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.03175	32.89474	19.00000	0.32759	16648.19000	0.41259	3126	0.00000	0.00000	0.19245	0.85613	1.04039	0.00000	0.00000	0.11062	0.32393	0.33777	0	0	7	25	6	5	14	0	0	5636.34048	6589.04991	9046.48462	9836.32327	10660.60165	87.57002	90.81047	127.00972	139.19312	150.10404	1.71284	-0.92524	0.04989	0.73090	-1.37315	1
pazopanib	3.33600	437.16339	0	5	2.67000	0	27	3	34	0	54	22	21	3.98730	15.89856	118.25270	0.29145	127.41000	2	8	569.90507	1272.55617	34.17429	247.09417	-551.74315	-32.96690	322.81089	1824.29932	67.14119	0.69756	1.55760	0.04183	0.30244	-0.67533	-0.04035	465.61201	1039.67742	27.92037	201.87575	-450.77373	-26.93393	0.10686	0.10382	0.00000	0.11008	693.19330	123.80594	0.84846	0.15154	38.21976	64.50024	0.87500	0.92020	13099.83411	12068.27223	1434.61886	1.08548	9.13123	8.41218	9.36280	3.16243	3.16243	3095.25242	55.63499	14.57355	3332.51974	57.72798	14.93680	6552.26586	80.94607	18.71244	569.90507	1272.55617	34.17429	247.09417	-551.74315	-32.96690	322.81089	1824.29932	67.14119	0.69756	1.55760	0.04183	0.30244	-0.67533	-0.04035	465.61201	1039.67742	27.92037	201.87575	-450.77373	-26.93393	0.10686	0.10382	0.00000	0.11008	693.19330	123.80594	0.84846	0.15154	0.77030	3.79959	31.17300	0.02155	0.10630	0.39439	0.43375	0.58669	35.74288	145.38385	272.36431	0.40411	1.41484	11.85000	31.97207	-0.23227	0.23882	6.14051	11.88486	4	4	3	3	0	0	1	3	0	0	0	0.29145	170	2938	52	6.08746	365.44851	127.41000	0.87500	0.92020	0.46667	0.72150	5.16485	6.62028	0.00000	6.04451	17.62298	0.00000	7.78364	0.00000	0.00000	0.50000	0.00000	0.00000	0.00000	0.53245	0.17817	1.57367	1.97465	0.20000	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	7	2	0	0	1	0	0	1	0	0	0	0	3	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.13495	9.70012	5.39945	0.19048	2319.10000	0.42593	797	0.00000	0.00000	0.07857	0.48766	0.79532	0.00000	0.00000	0.02500	0.14365	0.20676	0	0	2	12	2	2	0	0	0	2387.60473	2811.21723	4061.04390	4001.61188	3429.41679	41.19655	45.25020	60.81780	61.82754	55.34846	0.50867	-0.30912	0.15627	-0.17447	0.11736	1
pefloxacin	2.61100	333.14887	0	3	2.56000	0	15	3	26	1	44	11	10	2.62260	6.87803	85.65410	0.19238	64.09000	1	6	413.01920	826.38385	24.21381	181.66406	-363.48007	-39.64169	231.35514	1189.86392	63.85550	0.69452	1.38962	0.04072	0.30548	-0.61122	-0.06666	245.61560	491.43664	14.39955	108.03257	-216.15551	-23.57425	0.14768	0.16371	1.16569	5.16115	415.46588	179.21738	0.69863	0.30137	30.92314	49.51886	1.00000	0.92709	5305.66398	4617.36228	929.52437	1.14907	5.70793	4.96745	7.31195	2.03346	2.02028	2090.66429	45.72378	12.78679	2292.33095	47.87829	13.18537	4692.67518	68.50310	16.74198	413.01920	826.38385	24.21381	181.66406	-363.48007	-39.64169	231.35514	1189.86392	63.85550	0.69452	1.38962	0.04072	0.30548	-0.61122	-0.06666	245.61560	491.43664	14.39955	108.03257	-216.15551	-23.57425	0.14768	0.16371	1.16569	5.16115	415.46588	179.21738	0.69863	0.30137	0.84297	3.22777	14.47262	0.04546	0.17407	0.37153	0.40759	0.52072	18.54335	61.63506	119.55693	0.33536	1.29985	11.99432	18.99841	-0.33256	0.29556	4.48769	10.84612	3	2	2	1	0	0	0	3	0	0	0	0.19745	128	1277	43	5.70044	304.22859	64.09000	1.00000	0.92709	0.50000	0.10000	3.60130	2.37862	0.00000	7.66995	15.95740	0.00000	8.85754	0.00000	0.00000	0.94494	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.68501	0	0	0	0	0	0	2	0	5	0	0	3	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.78107	7.70914	3.75888	0.41176	1564.07000	0.36364	456	0.00000	0.00000	0.00000	0.18425	0.45100	0.00000	0.00000	0.00000	0.08697	0.15663	0	0	2	6	2	6	0	0	0	1656.18219	1984.12954	2882.68272	3123.72467	2694.44335	28.90539	29.07370	42.92823	49.02203	47.88954	0.64618	-0.27829	-0.07024	-0.12947	0.25116	0
pemetrexed	-6.69500	705.31810	3	16	2.23000	5	11	8	47	2	96	16	15	-4.66860	21.79583	160.33300	0.51096	360.39000	16	20	468.77380	3327.39900	53.88452	320.32772	-2273.71525	-82.78236	148.44608	5601.11425	136.66688	0.59406	4.21669	0.06829	0.40594	-2.88140	-0.10491	369.91011	2625.65558	42.52036	252.77109	-1794.19214	-65.32369	0.03975	0.05790	0.71877	0.00000	419.21000	369.89151	0.53125	0.46875	52.70073	99.54727	999.00100	0.90757	12270.42502	10904.34402	2688.33034	1.12528	4.56433	4.05618	7.96008	1.88240	1.88240	3808.74970	61.71507	15.61688	4372.59178	66.12558	16.35233	12661457.33308	3558.29416	233.07439	468.77380	3327.39900	53.88452	320.32772	-2273.71525	-82.78236	148.44608	5601.11425	136.66688	0.59406	4.21669	0.06829	0.40594	-2.88140	-0.10491	369.91011	2625.65558	42.52036	252.77109	-1794.19214	-65.32369	0.03975	0.05790	0.71877	0.00000	419.21000	369.89151	0.53125	0.46875	1.39270	3.05454	12.70698	0.08119	0.17806	0.39683	0.34967	0.37952	17.15422	60.76501	131.97534	0.30556	1.12603	11.99612	16.00839	-0.41886	0.28265	1.43700	9.92527	3	3	2	2	0	0	1	2	0	0	0	0.51704	222	655000002725	64	6.55459	641.87640	360.39000	999.00100	0.90757	0.99900	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	10.61662	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	1.15789	0.00000	0.00000	0	0	0	0	0	0	0	0	10	0	0	5	1	0	0	3	4	2	2	0	3	0	0	1	2	0	0	0	1	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.10729	25.88672	18.05653	0.46429	6484.21000	0.17708	-489280606	0.00000	0.00000	0.09623	0.33053	0.59842	0.00000	0.00000	0.03608	0.10335	0.13831	0	0	6	4	4	6	5	2	0	2424.06062	2734.06639	3633.98353	3369.90458	2656.72449	62.36243	52.81310	74.24125	77.89408	61.34172	1.50417	-0.59599	0.07948	-0.43855	0.16822	1
pemoline	1.03500	176.05858	0	1	2.01000	0	6	0	14	2	21	6	6	0.82160	0.67503	43.71130	0.36738	64.68000	1	4	264.36509	348.16370	29.23832	221.29823	-291.44548	-37.31122	43.06686	639.60917	66.54954	0.54434	0.71688	0.06020	0.45566	-0.60010	-0.07683	128.39242	169.09034	14.19998	107.47643	-141.54438	-18.12069	0.21492	0.22896	3.56199	4.76001	348.72232	136.94100	0.71803	0.28197	12.27966	24.97834	0.75000	0.77909	1075.08018	967.67539	299.84960	1.11099	3.58540	3.22720	4.92006	1.94872	1.94272	1150.63098	33.92095	10.47881	1237.22713	35.17424	10.73536	2176.85892	46.65682	12.96015	264.36509	348.16370	29.23832	221.29823	-291.44548	-37.31122	43.06686	639.60917	66.54954	0.54434	0.71688	0.06020	0.45566	-0.60010	-0.07683	128.39242	169.09034	14.19998	107.47643	-141.54438	-18.12069	0.21492	0.22896	3.56199	4.76001	348.72232	136.94100	0.71803	0.28197	0.62562	1.69340	6.59157	0.07021	0.19004	0.24711	0.49059	0.51768	8.91059	16.34542	32.23931	0.30481	1.25538	11.85000	15.99592	-0.30162	0.28310	4.59767	9.05451	2	1	2	1	0	0	1	1	0	0	0	0.36738	66	239	16	4.80735	154.99908	64.68000	0.75000	0.77909	0.42857	0.00000	0.00000	0.00000	0.00000	6.08364	6.71855	0.00000	3.53278	0.00000	0.00000	0.00000	0.33333	0.00000	0.00000	0.50000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.55102	4.02216	2.08333	0.11111	328.04000	0.52381	150	0.00000	0.00000	0.09623	0.35007	0.34483	0.00000	0.00000	0.02635	0.07122	0.05293	0	0	1	5	1	0	1	0	0	660.28847	755.69702	1010.15463	821.20104	606.20882	15.26890	15.49482	22.18282	18.60138	15.38038	0.39163	-0.25831	0.06964	-0.02159	0.01418	1
penbutolol	4.17100	291.21983	0	7	3.11000	3	7	7	22	1	50	6	6	1.43770	2.06698	82.00550	0.14247	41.49000	2	2	521.67403	843.27521	23.61569	89.67697	-144.96095	-10.72499	431.99706	988.23617	34.34068	0.85331	1.37936	0.03863	0.14669	-0.23712	-0.01754	318.92593	515.53714	14.43747	54.82410	-88.62202	-6.55674	0.13009	0.24053	2.82321	3.69221	570.41728	40.93372	0.93304	0.06696	34.27900	53.72100	0.83333	0.68973	4283.66197	3849.14685	1089.91925	1.11289	3.93026	3.53159	7.51805	1.53310	1.44834	1553.23071	39.41105	11.58098	1846.07677	42.96600	12.26733	3291.99611	57.37592	14.87601	521.67403	843.27521	23.61569	89.67697	-144.96095	-10.72499	431.99706	988.23617	34.34068	0.85331	1.37936	0.03863	0.14669	-0.23712	-0.01754	318.92593	515.53714	14.43747	54.82410	-88.62202	-6.55674	0.13009	0.24053	2.82321	3.69221	570.41728	40.93372	0.93304	0.06696	1.73470	3.33993	14.75788	0.08747	0.16841	0.40492	0.38714	0.61936	19.83251	80.68459	186.02110	0.30809	1.41143	11.90000	15.99592	-0.38889	0.09130	5.22583	10.18838	2	1	2	1	0	0	1	1	0	0	0	0.14247	104	1043	25	5.45943	304.93910	41.49000	0.83333	0.68973	0.45455	1.50000	3.71600	1.79085	3.00000	12.82550	14.34328	1.43976	2.70160	0.70990	0.00000	0.00000	0.33333	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	3	0	6	0	0	4	2	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.35537	8.02222	5.95041	0.66667	2181.03000	0.22000	388	0.00000	0.00000	0.14434	0.16667	0.21408	0.00000	0.00000	0.14434	0.09995	0.10513	0	0	0	5	1	5	5	2	0	1296.84913	1455.71793	1907.55820	1637.86672	1553.28886	22.90892	23.32864	32.32519	27.82248	27.21392	0.30607	-0.10656	-0.14624	0.07324	0.07813	0
penciclovir	-0.53900	253.11749	0	5	1.68000	4	11	5	19	0	33	10	9	-1.58400	2.50906	62.73010	0.51482	130.31000	4	6	378.75977	865.50919	44.88048	175.84438	-401.82443	-53.86881	202.91539	1267.33362	98.74928	0.68294	1.56059	0.08092	0.31706	-0.72452	-0.09713	210.06174	480.01499	24.89090	97.52402	-222.85350	-29.87586	0.09607	0.17301	2.24002	5.41483	302.30807	252.29609	0.54509	0.45491	21.67810	35.50789	0.80000	0.71026	3048.71598	2755.50801	639.80026	1.10641	4.76511	4.30683	6.59456	2.29555	2.22142	1579.14251	39.73843	11.64503	1750.46216	41.83852	12.05177	3212.25171	56.67673	14.75491	378.75977	865.50919	44.88048	175.84438	-401.82443	-53.86881	202.91539	1267.33362	98.74928	0.68294	1.56059	0.08092	0.31706	-0.72452	-0.09713	210.06174	480.01499	24.89090	97.52402	-222.85350	-29.87586	0.09607	0.17301	2.24002	5.41483	302.30807	252.29609	0.54509	0.45491	0.96531	2.61134	10.02702	0.07096	0.19196	0.31559	0.36947	0.58274	13.60368	38.38392	77.26325	0.30281	1.26780	11.98844	15.99693	-0.39634	0.24831	4.38074	9.46338	2	2	1	1	0	0	1	1	0	0	0	0.51482	90	632	26	5.24793	205.81203	130.31000	0.80000	0.71026	0.44444	0.00000	0.00000	0.00000	0.00000	3.95055	7.29131	0.00000	3.76917	0.00000	0.00000	0.43679	0.00000	0.00000	0.00000	1.10521	0.25000	1.14471	1.19055	0.00000	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.40997	6.43787	3.32180	0.50000	850.08000	0.27273	271	0.00000	0.00000	0.09623	0.24719	0.49139	0.00000	0.00000	0.02887	0.06026	0.08358	0	0	2	1	0	3	1	1	0	970.31353	1121.78449	1532.80117	1428.07039	1160.09181	22.12331	21.65810	30.34673	30.92779	27.31436	0.55725	-0.35938	0.18592	-0.17958	0.03733	0
penicillamine	-1.88300	149.05105	0	2	1.57000	4	3	5	8	1	20	0	0	-0.04170	0.00174	37.22380	0.68513	102.12000	2	3	339.98872	401.54266	37.30694	169.19016	-199.82154	-39.43481	170.79856	601.36420	76.74175	0.66772	0.78861	0.07327	0.33228	-0.39244	-0.07745	173.11508	204.45704	18.99591	86.14806	-101.74491	-20.07937	0.23474	0.27965	11.61947	13.71402	318.49146	190.68743	0.62550	0.37450	14.60328	21.73872	1.00000	0.56798	506.38290	488.35862	279.34376	1.03691	1.81276	1.74824	4.15922	1.28871	1.21589	654.38044	25.58086	8.68181	779.70562	27.92321	9.20401	1400.04636	37.41719	11.18701	339.98872	401.54266	37.30694	169.19016	-199.82154	-39.43481	170.79856	601.36420	76.74175	0.66772	0.78861	0.07327	0.33228	-0.39244	-0.07745	173.11508	204.45704	18.99591	86.14806	-101.74491	-20.07937	0.23474	0.27965	11.61947	13.71402	318.49146	190.68743	0.62550	0.37450	1.03986	1.71122	2.77176	0.18828	0.30984	0.40009	0.51176	0.59073	5.52284	9.40478	19.85979	0.12640	1.50258	11.90000	31.97207	-0.33039	0.32317	4.37006	10.76288	0	0	0	0	0	0	0	0	0	0	0	0.68513	40	86	10	4.00000	139.48616	102.12000	1.00000	0.56798	0.50000	0.50000	0.00000	1.63299	2.00000	0.00000	0.00000	0.00000	1.00000	1.41421	0.00000	0.50000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00000	2.72222	2.88000	0.80000	289.04000	0.00000	50	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	1	0	0	2	1	1	0	501.53554	529.78064	671.09963	453.60671	204.96681	17.03667	10.50015	18.78037	15.88671	12.44117	0.25545	-0.08262	-0.07567	0.00834	0.02223	1
